,latitud,longitud,profundidad (km),magnitud (M),distrito,gasto por daño
4522,-14.76,-73.12,72,4.5,34,66667680000.0
4523,-14.24,-72.83,46,4.9,34,66667680000.0
4524,-14.23,-76.15,48,4.7,29,82972500000.0
4525,-17.63,-71.32,90,4.8,20,71909500000.0
4526,-7.12,-75.22,150,5.5,36,37964700000.0
4527,-15.73,-73.79,43,4.5,29,82972500000.0
4528,-10.24,-78.96,56,4.9,10,55328000000.0
4529,-10.96,-74.83,15,5.3,8,167976388949.99994
4530,-11.41,-75.08,17,4.9,8,167976388949.99994
4531,-13.97,-75.95,61,4.6,29,82972500000.0
4532,-10.5,-78.17,58,4.5,10,55328000000.0
4533,-14.54,-73.9,23,4.5,29,82972500000.0
4534,-5.88,-75.35,166,4.7,36,37964700000.0
4535,-14.41,-76.15,16,4.6,29,82972500000.0
4536,-15.99,-73.12,14,4.9,20,71909500000.0
4537,-18.46,-70.19,78,5.6,20,71909500000.0
4538,-6.99,-79.67,50,5.3,13,43009540000.0
4539,-10.28,-80.2,13,4.9,10,55328000000.0
4540,-11.78,-75.1,35,4.7,8,167976388949.99994
4541,-14.63,-72.67,79,4.9,34,66667680000.0
4542,-8.82,-78.99,47,5.1,10,55328000000.0
4543,-8.23,-79.16,37,4.9,13,43009540000.0
4544,-10.93,-76.92,104,4.9,0,291359135593.2201
4545,-9.04,-79.72,58,4.9,10,55328000000.0
4546,-12.94,-76.63,84,4.8,22,87387300000.0
4547,-13.48,-75.87,32,4.6,29,82972500000.0
4548,-7.77,-81.94,27,4.7,13,43009540000.0
4549,-12.13,-75.23,111,4.7,8,167976388949.99994
4550,-15.69,-73.94,33,4.5,29,82972500000.0
4551,-2.85,-76.08,91,5.1,36,37964700000.0
4552,-9.68,-72.42,100,4.6,8,167976388949.99994
4553,-18.11,-70.26,118,4.9,20,71909500000.0
4554,-12.85,-76.87,11,4.6,22,87387300000.0
4555,-14.86,-76.55,10,5.0,29,82972500000.0
4556,-16.42,-73.47,36,4.7,20,71909500000.0
4557,-17.945,-69.523,153,4.3,20,71909500000.0
4558,-18.1,-70.93,93,4.9,20,71909500000.0
4559,-5.81,-80.69,49,6.2,13,43009540000.0
4560,-14.94,-73.7,75,4.6,29,82972500000.0
4561,-9.69,-79.41,69,6.3,10,55328000000.0
4562,-8.09,-81.07,41,4.7,13,43009540000.0
4563,-7.27,-74.56,148,4.6,36,37964700000.0
4564,-8.62,-71.94,206,4.8,8,167976388949.99994
4565,-6.06,-77.49,115,4.7,36,37964700000.0
4566,-9.88,-79.85,51,4.5,10,55328000000.0
4567,-5.71,-79.33,92,4.9,13,43009540000.0
4568,-8.43,-77.42,27,4.5,32,15037537500.0
4569,-8.89,-80.53,49,4.5,13,43009540000.0
4570,-9.1,-80.95,38,4.5,13,43009540000.0
4571,-9.44,-77.71,28,4.7,10,55328000000.0
4572,-14.02,-73.21,51,4.5,34,66667680000.0
4573,-3.95,-80.12,51,5.8,13,43009540000.0
4574,-8.78,-79.31,22,4.5,10,55328000000.0
4575,-5.02,-77.51,34,5.0,36,37964700000.0
4576,-10.71,-72.97,142,4.5,8,167976388949.99994
4577,-9.06,-79.53,58,4.5,10,55328000000.0
4578,-7.99,-80.0,48,4.6,13,43009540000.0
4579,-5.95,-76.94,21,6.6,36,37964700000.0
4580,-5.85,-77.31,21,5.5,36,37964700000.0
4581,-16.76,-72.96,71,4.6,20,71909500000.0
4582,-6.38,-78.48,12,4.6,36,37964700000.0
4583,-5.98,-76.8,37,4.7,36,37964700000.0
4584,-5.96,-76.88,142,4.9,36,37964700000.0
4585,-5.81,-76.86,20,6.9,36,37964700000.0
4586,-5.81,-77.339,24,5.6,36,37964700000.0
4587,-5.773,-77.146,33,5.0,36,37964700000.0
4588,-5.8,-77.21,21,5.3,36,37964700000.0
4589,-5.583,-77.459,33,4.7,36,37964700000.0
4590,-5.58,-77.54,114,5.2,36,37964700000.0
4591,-5.584,-76.758,33,4.4,36,37964700000.0
4592,-5.548,-77.412,33,4.8,36,37964700000.0
4593,-5.399,-77.052,33,4.7,36,37964700000.0
4594,-6.45,-77.72,129,4.7,36,37964700000.0
4595,-6.31,-77.84,13,4.7,36,37964700000.0
4596,-5.77,-78.02,102,4.9,36,37964700000.0
4597,-7.78,-77.08,66,4.5,32,15037537500.0
4598,-4.52,-77.62,76,4.6,36,37964700000.0
4599,-6.36,-77.46,75,5.2,36,37964700000.0
4600,-5.58,-77.08,112,4.7,36,37964700000.0
4601,-14.88,-75.63,57,6.4,29,82972500000.0
4602,-5.97,-76.99,21,5.5,36,37964700000.0
4603,-2.6,-77.06,85,4.9,36,37964700000.0
4604,-5.856,-77.204,33,4.4,36,37964700000.0
4605,-6.28,-77.49,31,5.0,36,37964700000.0
4606,-5.91,-77.35,38,5.2,36,37964700000.0
4607,-6.36,-76.83,24,4.7,36,37964700000.0
4608,-5.74,-77.87,72,4.6,36,37964700000.0
4609,-5.35,-76.87,7,4.7,36,37964700000.0
4610,-5.94,-77.27,98,4.7,36,37964700000.0
4611,-5.81,-76.89,20,5.1,36,37964700000.0
4612,-5.57,-77.02,33,4.2,36,37964700000.0
4613,-5.89,-76.92,25,4.8,36,37964700000.0
4614,-15.56,-73.47,49,4.6,20,71909500000.0
4615,-6.25,-76.92,35,5.4,36,37964700000.0
4616,-5.86,-77.52,24,5.3,36,37964700000.0
4617,-6.02,-77.2,20,4.7,36,37964700000.0
4618,-6.15,-77.61,35,5.2,36,37964700000.0
4619,-5.96,-77.27,23,5.1,36,37964700000.0
4620,-5.73,-77.06,113,5.1,36,37964700000.0
4621,-5.92,-77.05,38,4.5,36,37964700000.0
4622,-6.16,-77.01,16,4.5,36,37964700000.0
4623,-5.77,-76.96,23,4.8,36,37964700000.0
4624,-6.51,-77.4,24,4.6,36,37964700000.0
4625,-5.24,-77.22,14,4.8,36,37964700000.0
4626,-6.3,-77.11,47,4.7,36,37964700000.0
4627,-6.08,-77.24,37,4.7,36,37964700000.0
4628,-5.51,-77.03,127,4.5,36,37964700000.0
4629,-6.58,-77.63,45,4.9,36,37964700000.0
4630,-9.9,-74.72,128,5.2,8,167976388949.99994
4631,-6.26,-77.03,28,4.7,36,37964700000.0
4632,-6.13,-76.82,153,4.7,36,37964700000.0
4633,-5.35,-76.87,42,4.8,36,37964700000.0
4634,-7.81,-77.69,29,4.5,32,15037537500.0
4635,-6.1,-77.35,35,4.6,36,37964700000.0
4636,-7.18,-80.36,49,5.3,13,43009540000.0
4637,-6.02,-77.29,27,5.0,36,37964700000.0
4638,-5.57,-76.87,87,5.3,36,37964700000.0
4639,-5.86,-77.06,28,4.7,36,37964700000.0
4640,-5.92,-77.11,28,4.7,36,37964700000.0
4641,-6.27,-77.18,37,4.6,36,37964700000.0
4642,-6.02,-77.13,34,5.1,36,37964700000.0
4643,-5.98,-77.2,27,4.8,36,37964700000.0
4644,-6.01,-77.16,27,4.8,36,37964700000.0
4645,-6.19,-77.34,10,4.7,36,37964700000.0
4646,-6.17,-77.11,29,5.3,36,37964700000.0
4647,-5.82,-77.04,29,4.7,36,37964700000.0
4648,-5.57,-76.57,132,4.5,36,37964700000.0
4649,-9.63,-74.68,133,6.0,8,167976388949.99994
4650,-5.77,-76.93,24,4.8,36,37964700000.0
4651,-5.74,-77.01,29,5.2,36,37964700000.0
4652,-5.91,-77.23,37,5.0,36,37964700000.0
4653,-5.35,-77.25,24,4.8,36,37964700000.0
4654,-5.69,-77.04,15,4.8,36,37964700000.0
4655,-6.01,-77.3,41,4.7,36,37964700000.0
4656,-6.12,-77.02,34,4.7,36,37964700000.0
4657,-6.25,-77.57,39,4.7,36,37964700000.0
4658,-5.85,-77.17,51,4.6,36,37964700000.0
4659,-6.3,-77.21,51,4.9,36,37964700000.0
4660,-5.57,-77.34,128,4.7,36,37964700000.0
4661,-5.23,-76.47,59,4.8,36,37964700000.0
4662,-6.06,-76.94,107,4.7,36,37964700000.0
4663,-5.81,-77.4,25,5.5,36,37964700000.0
4664,-6.1,-77.35,33,4.7,36,37964700000.0
4665,-5.9,-77.44,25,4.7,36,37964700000.0
4666,-5.91,-77.12,26,5.4,36,37964700000.0
4667,-5.85,-77.09,56,5.3,36,37964700000.0
4668,-5.67,-76.89,59,4.9,36,37964700000.0
4669,-5.73,-77.09,142,4.8,36,37964700000.0
4670,-11.02,-78.18,50,4.9,0,291359135593.2201
4671,-5.0,-77.2,90,5.2,36,37964700000.0
4672,-12.13,-72.26,52,4.6,34,66667680000.0
4673,-5.33,-76.37,57,5.1,36,37964700000.0
4674,-5.73,-77.13,23,5.2,36,37964700000.0
4675,-5.88,-77.23,27,4.7,36,37964700000.0
4676,-5.95,-77.06,33,4.8,36,37964700000.0
4677,-17.878,-72.479,64,4.1,20,71909500000.0
4678,-6.04,-77.24,60,4.7,36,37964700000.0
4679,-13.11,-75.45,47,4.9,29,82972500000.0
4680,-5.99,-77.36,134,4.7,36,37964700000.0
4681,-9.64,-78.78,23,4.5,10,55328000000.0
4682,-6.42,-77.27,12,5.3,36,37964700000.0
4683,-8.06,-81.07,22,4.7,13,43009540000.0
4684,-5.71,-77.05,138,4.6,36,37964700000.0
4685,-8.78,-80.75,12,4.9,13,43009540000.0
4686,-6.58,-76.95,42,4.6,36,37964700000.0
4687,-14.07,-76.12,35,4.6,29,82972500000.0
4688,-5.62,-77.3,54,4.7,36,37964700000.0
4689,-10.45,-73.9,25,4.5,8,167976388949.99994
4690,-6.32,-77.2,106,5.1,36,37964700000.0
4691,-4.46,-77.87,35,4.9,36,37964700000.0
4692,-4.74,-76.78,126,4.8,36,37964700000.0
4693,-11.3,-77.5,60,6.1,0,291359135593.2201
4694,-11.93,-77.57,46,4.7,0,291359135593.2201
4695,-5.95,-76.86,121,4.9,36,37964700000.0
4696,-5.83,-77.27,25,5.0,36,37964700000.0
4697,-18.562,-69.713,128,4.7,20,71909500000.0
4698,-9.87,-79.55,60,4.5,10,55328000000.0
4699,-5.96,-76.67,34,4.5,36,37964700000.0
4700,-14.23,-76.33,60,4.5,29,82972500000.0
4701,-5.61,-77.05,60,4.8,36,37964700000.0
4702,-6.11,-77.3,61,5.3,36,37964700000.0
4703,-6.95,-80.77,81,4.8,13,43009540000.0
4704,-13.68,-72.41,65,4.7,34,66667680000.0
4705,-16.67,-72.11,19,4.9,20,71909500000.0
4706,-8.94,-75.44,28,4.5,32,15037537500.0
4707,-6.99,-80.89,22,4.7,13,43009540000.0
4708,-11.59,-77.31,13,4.7,0,291359135593.2201
4709,-5.94,-76.92,57,4.5,36,37964700000.0
4710,-4.07,-80.63,86,4.7,13,43009540000.0
4711,-13.82,-75.68,81,5.8,29,82972500000.0
4712,-11.8,-77.35,10,4.5,0,291359135593.2201
4713,-17.26,-68.96,159,5.3,20,71909500000.0
4714,-5.97,-77.36,137,5.3,36,37964700000.0
4715,-5.44,-76.98,30,5.3,36,37964700000.0
4716,-13.41,-76.38,47,4.7,22,87387300000.0
4717,-8.82,-77.02,61,4.5,32,15037537500.0
4718,-16.9,-70.83,124,6.4,20,71909500000.0
4719,-9.43,-78.86,56,4.5,10,55328000000.0
4720,-6.21,-77.59,14,4.9,36,37964700000.0
